time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:09:37 356:651:396,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335777356651389
2022-05-12 14:09:47 208:818:800,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335787208818793
2022-05-12 14:09:47 208:884:770,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335787204300590
2022-05-12 14:09:47 210:951:167,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335787206366987
2022-05-12 14:10:15 710:780:287,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335815706196107
2022-05-12 14:10:15 710:874:997,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335815706290817
2022-05-12 14:10:15 718:486:925,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335815713902745
2022-05-12 14:10:37 717:924:001,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335837713339821
2022-05-12 14:10:37 717:838:045,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335837713253865
2022-05-12 14:10:37 723:481:324,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335837718897144
2022-05-12 14:10:47 715:385:068,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335847710800888
2022-05-12 14:10:47 715:307:941,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335847710723761
2022-05-12 14:10:47 719:365:019,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335847714780839
2022-05-12 14:10:50 714:753:271,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335850710169091
2022-05-12 14:10:50 714:666:253,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335850710082073
2022-05-12 14:10:50 718:685:154,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335850714100974
2022-05-12 14:10:58 096:490:001,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652335858091905821
2022-05-12 14:10:58 096:567:890,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4748,1,ALL_TRADED,NONE,1652335858091983710
2022-05-12 14:10:58 096:638:781,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652335858081576413
2022-05-12 14:10:58 097:189:231,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652335858082126863
2022-05-12 14:10:58 097:259:563,23,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652335858082197195
2022-05-12 14:10:58 097:738:661,23,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,NONE,NONE,1652335858082676293
2022-05-12 14:10:58 097:745:218,23,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4705,1,ALL_TRADED,NONE,1652335858082682850
2022-05-12 14:10:58 197:794:182,24,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652335858182812894
2022-05-12 14:10:58 198:262:090,24,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335858183280802
2022-05-12 14:11:20 365:069:320,24,0,0,ag2212.SHFE,BUY,OPEN,0,0,NONE,NONE,1652335880350088032
2022-05-12 14:11:20 365:078:090,24,0,0,ag2212.SHFE,BUY,OPEN,4746,2,ALL_TRADED,NONE,1652335880350096802
2022-05-12 14:11:20 365:191:227,25,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335880350128859
2022-05-12 14:11:20 365:653:366,25,0,0,ag2206.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335880350590998
2022-05-12 14:11:20 365:720:581,26,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335880350658213
2022-05-12 14:11:20 366:168:598,26,0,0,ag2206.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335880351106230
2022-05-12 14:11:20 366:227:431,27,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335880351165063
2022-05-12 14:11:20 367:148:197,27,0,0,ag2206.SHFE,SELL,OPEN,0,0,NONE,NONE,1652335880352085829
2022-05-12 14:11:20 367:154:577,27,0,0,ag2206.SHFE,SELL,OPEN,4703,2,ALL_TRADED,NONE,1652335880352092209
2022-05-12 14:11:20 367:253:834,28,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335880367253822
2022-05-12 14:11:20 367:688:403,28,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335880367688391
2022-05-12 14:18:28 555:825:322,28,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652336308555825310
2022-05-12 14:18:28 555:860:769,28,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4749,2,ALL_TRADED,NONE,1652336308555860757
