time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,type,duration
2022-05-12 14:23:18 734:562:785,7,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4753,1,insert,1652336598729978605
2022-05-12 14:23:37 734:321:948,7,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4753,1,cancel,1652336617693645468
2022-05-12 14:23:37 738:739:029,8,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4754,1,insert,1652336617734154849
2022-05-12 14:23:55 745:411:527,8,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4754,1,cancel,1652336635704735047
2022-05-12 14:23:55 748:166:261,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4755,1,insert,1652336635743582081
2022-05-12 14:24:13 235:355:493,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4755,1,cancel,1652336653194679013
2022-05-12 14:24:13 239:048:618,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4756,1,insert,1652336653234464438
2022-05-12 14:24:29 235:437:439,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4756,1,cancel,1652336669194760959
2022-05-12 14:24:29 237:636:008,11,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4757,1,insert,1652336669233051828
2022-05-12 14:24:34 751:529:689,11,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4757,1,cancel,1652336674710853209
2022-05-12 14:24:34 756:781:051,12,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4758,1,insert,1652336674752196871
2022-05-12 14:24:58 307:573:499,13,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4715,1,insert,1652336698266825115
2022-05-12 14:24:58 308:083:859,14,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4714,1,insert,1652336698267335475
2022-05-12 14:24:58 748:653:679,15,0,0,ag2212.SHFE,BUY,OPEN,4757,1,insert,1652336698748653675
2022-05-12 14:25:00 254:996:280,15,0,0,ag2212.SHFE,BUY,OPEN,4757,1,cancel,1652336700214319800
