序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部
87,138411,？？？？？？？？′？？？,156405,000000020921,SHFE,ni2209,ni2209,买,开仓,161200,1,全部成交,161200.0,1,0,0,23:16:17,,23:16:17,20220701 23:16:17,1.00,--,--,投机,GFD,套利[C26],,,ni09-08:Spread[C26],普通,138411,,,,InfiniV8_1,3,-290971658,
86,138411,？？？？？？？？′？？？,155899,000000020545,SHFE,ni2208,ni2208,买,平今,166870,1,全部成交,166870.0,1,0,0,23:14:45,,23:14:45,20220701 23:14:45,--,630.00,630.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
85,138411,？？？？？？？？′？？？,155898,000000020537,SHFE,ni2209,ni2209,    卖,平今,161780,1,全部成交,161780.0,1,0,0,23:14:45,,23:14:45,20220701 23:14:45,--,-530.00,-530.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
84,138411,？？？？？？？？′？？？,155821,000000020153,SHFE,ni2208,ni2208,买,平今,167300,1,全部成交,167300.0,1,0,0,23:14:25,,23:14:25,20220701 23:14:25,--,220.00,220.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
83,138411,？？？？？？？？′？？？,155819,000000020129,SHFE,ni2209,ni2209,    卖,平今,162290,1,全部成交,162300.0,1,0,0,23:14:25,,23:14:25,20220701 23:14:25,--,-30.00,-30.00,投机,GFD,套利[C25],28:SHFE:报单已经全部成交,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
82,138411,？？？？？？？？′？？？,155809,000000020057,SHFE,ni2208,ni2208,买,平今,167420,1,全部成交,167420.0,1,0,0,23:14:20,,23:14:20,20220701 23:14:20,--,1180.00,1180.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
81,138411,？？？？？？？？′？？？,155808,000000020049,SHFE,ni2209,ni2209,    卖,平今,162350,1,全部成交,162350.0,1,0,0,23:14:20,,23:14:20,20220701 23:14:20,--,-1150.00,-1150.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
80,138411,？？？？？？？？′？？？,155378,000000019673,SHFE,ni2208,ni2208,    卖,开仓,167500,1,全部成交,167500.0,1,0,0,23:12:35,,23:12:35,20220701 23:12:35,1.00,--,--,投机,GFD,套利[C24],,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
79,138411,？？？？？？？？′？？？,155377,000000019657,SHFE,ni2209,ni2209,买,开仓,162310,1,全部成交,162310.0,1,0,0,23:12:35,,23:12:35,20220701 23:12:35,1.00,--,--,投机,GFD,套利[C24],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
78,138411,？？？？？？？？′？？？,155374,000000019649,SHFE,ni2208,ni2208,    卖,开仓,167520,1,全部成交,167520.0,1,0,0,23:12:34,,23:12:34,20220701 23:12:34,1.00,--,--,投机,GFD,套利[C24],,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
77,138411,？？？？？？？？′？？？,155373,000000019633,SHFE,ni2209,ni2209,买,开仓,162330,1,全部成交,162330.0,1,0,0,23:12:33,,23:12:34,20220701 23:12:34,1.00,--,--,投机,GFD,套利[C24],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
76,138411,？？？？？？？？′？？？,154714,000000019097,SHFE,ni2208,ni2208,买,平今,167540,1,全部成交,167540.0,1,0,0,23:09:16,,23:09:16,20220701 23:09:16,--,1130.00,1130.00,投机,GFD,套利[C23],,,ni09-08:Spread[C23],普通,138411,,,,InfiniV8_1,3,-290971658,
75,138411,？？？？？？？？′？？？,154707,000000019089,SHFE,ni2209,ni2209,    卖,平今,162600,1,全部成交,162600.0,1,0,0,23:09:14,,23:09:16,20220701 23:09:16,--,-900.00,-900.00,投机,GFD,套利[C23],,,ni09-08:Spread[C23],普通,138411,,,,InfiniV8_1,3,-290971658,
74,138411,？？？？？？？？′？？？,153801,000000018409,SHFE,ni2208,ni2208,    卖,开仓,168600,1,全部成交,168600.0,1,0,0,23:06:07,,23:06:07,20220701 23:06:07,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
73,138411,？？？？？？？？′？？？,153800,000000018401,SHFE,ni2209,ni2209,买,开仓,163500,1,全部成交,163500.0,1,0,0,23:06:07,,23:06:07,20220701 23:06:07,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
72,138411,？？？？？？？？′？？？,153790,000000018393,SHFE,ni2208,ni2208,    卖,开仓,168670,1,全部成交,168670.0,1,0,0,23:06:06,,23:06:06,20220701 23:06:06,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
71,138411,？？？？？？？？′？？？,153789,000000018385,SHFE,ni2209,ni2209,买,开仓,163500,1,全部成交,163500.0,1,0,0,23:06:06,,23:06:06,20220701 23:06:06,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
70,138411,？？？？？？？？′？？？,149150,000000016313,SHFE,ni2208,ni2208,买,平今,168920,1,全部成交,168920.0,1,0,0,22:58:53,,22:58:53,20220701 22:58:53,--,280.00,280.00,投机,GFD,套利[C20],,,ni09-08:Spread[C20],普通,138411,,,,InfiniV8_1,3,-290971658,
69,138411,？？？？？？？？′？？？,149148,000000016305,SHFE,ni2209,ni2209,    卖,平今,163980,1,全部成交,163980.0,1,0,0,22:58:53,,22:58:53,20220701 22:58:53,--,-130.00,-130.00,投机,GFD,套利[C20],,,ni09-08:Spread[C20],普通,138411,,,,InfiniV8_1,3,-290971658,
68,138411,？？？？？？？？′？？？,145505,000000015945,SHFE,ni2208,ni2208,买,平今,169190,1,全部成交,169190.0,1,0,0,22:56:51,,22:56:51,20220701 22:56:51,--,-220.00,-220.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
67,138411,？？？？？？？？′？？？,145504,000000015937,SHFE,ni2209,ni2209,    卖,平今,164300,1,全部成交,164300.0,1,0,0,22:56:51,,22:56:51,20220701 22:56:51,--,340.00,340.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
66,138411,？？？？？？？？′？？？,140372,000000014041,SHFE,ni2208,ni2208,    卖,开仓,169200,1,全部成交,169200.0,1,0,0,22:53:38,,22:53:38,20220701 22:53:38,1.00,--,--,投机,GFD,套利[C19],,,ni09-08:Spread[C19],普通,138411,,,,InfiniV8_1,3,-290971658,
