datetime,symbol,time,tick,askPrice,volume1,lastPrice,volume2,bidPrice,volume3,amount,turnover,other,,
20210623,cu2201,21:00:00,500,69440,2,69330,1,69480,1,346625,693250,5765,0,0
20210623,cu2201,21:00:02,500,69480,3,69210,1,69540,1,346883,1.04E+06,5765,0,0
20210623,cu2201,21:00:04,500,69540,4,69450,5,69570,5,347088,1.39E+06,5765,0,0
20210623,cu2201,21:00:06,500,69540,4,69510,2,69600,2,347088,1.39E+06,5765,0,0
20210623,cu2201,21:00:08,500,69540,4,69520,16,69600,16,347088,1.39E+06,5765,0,0
20210623,cu2201,21:00:10,500,69540,4,69520,1,69570,1,347088,1.39E+06,5765,0,0
20210623,cu2201,21:00:12,500,69540,4,69550,6,69570,6,347088,1.39E+06,5765,0,0
20210623,cu2201,21:00:14,500,69570,6,69550,13,69630,13,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:16,500,69570,6,69400,1,69630,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:18,500,69570,6,69520,11,69610,11,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:21,0,69570,6,69520,12,69600,12,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:25,0,69570,6,69520,11,69580,11,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:27,500,69570,6,69540,2,69610,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:30,500,69570,6,69560,2,69610,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:32,500,69570,6,69550,8,69620,8,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:35,0,69570,6,69530,9,69620,9,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:38,500,69570,6,69530,11,69600,11,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:40,500,69570,6,69520,2,69600,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:42,500,69570,6,69530,1,69570,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:47,0,69570,6,69470,11,69540,11,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:49,0,69570,6,69440,1,69540,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:51,0,69570,6,69440,1,69540,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:53,0,69570,6,69440,2,69520,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:55,500,69570,6,69450,1,69570,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:00:57,500,69570,6,69470,2,69540,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:00,500,69570,6,69480,1,69550,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:02,500,69570,6,69460,8,69550,8,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:04,500,69570,6,69470,3,69570,3,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:06,500,69570,6,69480,4,69570,4,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:09,0,69570,6,69460,6,69550,6,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:11,0,69570,6,69470,5,69560,5,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:13,500,69570,6,69500,8,69550,8,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:19,500,69570,6,69490,1,69550,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:25,500,69570,6,69490,3,69550,3,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:30,0,69570,6,69490,3,69550,3,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:34,500,69570,6,69500,10,69580,10,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:38,0,69570,6,69520,1,69580,1,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:42,0,69570,6,69520,2,69580,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:45,500,69570,6,69520,2,69570,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:50,500,69570,6,69520,2,69570,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:54,0,69570,6,69520,2,69590,2,347342,2.08E+06,5765,0,0
20210623,cu2201,21:01:56,500,69570,6,69530,10,69580,10,347342,2.08E+06,5765,0,0
