交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
2206,336990,334500,337210,329390, , , , ,1103,36841.78,1967,91,
2207,334610,330600,334300,326580, , , , ,100,3311.5,1306,-14,
2208,328150,328720,330490,321700, , , , ,50,1634.42,1141,19,
2209,331140,326420,327040,319520, , , , ,190,6151.23,1382,11,
2210,329720,324600,326270,314880, , , , ,102,3262.99,814,28,
2211,326400,321210,321970,315310, , , , ,42,1343.54,76,25,
2212,325740,322040,322260,307720, , , , ,51,1614.89,109,22,
2301,326610,322080,324810,313270, , , , ,55,1747.34,151,13,
2302,325310,323790,323790,315440, , , , ,14,447.14,86,8,
小计, , , , , , , , ,84285,2830377.32,60568 / -1250,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:黄金,,,,,,,,,,,,,
2203,390.56,382.44,388.88,382.18, , , , ,51,1965.8,82,-6,
2204,393.14,385.98,391.3,383.52, , , , ,22885,883447.44,19921,-9372,
2205,395.56,385.62,409,384.1, , , , ,75,2904.71,35,7,
2206,394.7,387.02,392.38,384.46, , , , ,180241,6971629.01,150513,-7647,
2208,395.4,388.12,393.14,385.42, , , , ,28510,1105682.36,37293,2465,
2210,395.44,388.38,393.08,386.24, , , , ,18440,716968.85,13326,3431,
2212,397.82,389.98,394.66,387, , , , ,818,31904.09,6074,76,
2302,397.66,389.4,393.3,388.02, , , , ,44,1717.35,105,27,
小计, , , , , , , , ,251064,9716219.61,227349 / -11019,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:白银,,,,,,,,,,,,,
2203,4988,4910,4950,4850, , , , ,1055,7760.21,9913,-326,
2204,5058,4919,4971,4860, , , , ,8139,59943.22,10784,-2101,
2205,5069,4932,4994,4872, , , , ,37525,276550.01,15547,-619,
2206,5071,4930,5000,4881, , , , ,558612,4126388.88,496072,-17908,
2207,5087,4934,5016,4893, , , , ,30629,226845.74,36371,-208,
2208,5095,4963,5013,4902, , , , ,21331,158205.41,27015,-438,
2209,5091,4981,5020,4910, , , , ,4877,36285.45,16130,1560,
2210,5089,5029,5029,4918, , , , ,513,3845.04,7148,323,
2211,5147,4980,5033,4928, , , , ,351,2628.41,10552,76,
2212,5118,5000,5040,4848, , , , ,2381,17801.3,8614,7,
2301,5135,4985,5044,4957, , , , ,55,411.07,201,-25,
2302,5194,5050,5106,4957, , , , ,34,255.9,416,16,
小计, , , , , , , , ,665502,4916920.65,638763 / -19643,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:螺纹钢,,,,,,,,,,,,,
2203,4656,4685,4773,4685, , , , ,438,2064.98,791,-296,
2204,4686,4676,4745,4662, , , , ,558,2621.56,1301,-269,
2205,4603,4617,4706,4597, , , , ,1263354,5886597.45,1989064,-119496,
2206,4553,4590,4652,4556, , , , ,2454,11376.83,4035,1007,
2207,4539,4511,4619,4511, , , , ,1669,7658.15,6045,-2,
2208,4481,4493,4579,4493, , , , ,1056,4800.97,20720,24,
2209,4464,4498,4558,4470, , , , ,24678,111729.47,91459,123,
2210,4418,4447,4519,4435, , , , ,216482,970222.21,679321,20078,
2211,4362,4380,4480,4380, , , , ,893,3938.66,64597,-540,
2212,4342,4376,4433,4360, , , , ,2353,10335.82,54780,-1306,
2301,4293,4321,4385,4308, , , , ,9257,40266.53,52700,601,
2302,4259,4302,4348,4294, , , , ,77,332.57,2043,-35,
小计, , , , , , , , ,1523269,7051945.19,2966856 / -100111,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:线材,,,,,,,,,,,,,
2203,5151, , , , , , , ,0,0,0,0,
2204,5064,4661,4939,4661, , , , ,3,14.26,1,-1,
2205,4916,5019,5035,4955, , , , ,25,124.98,14,1,
2206,4895, , , , , , , ,0,0,0,0,
2207,5065, , , , , , , ,0,0,0,0,
2208,4917, , , , , , , ,0,0,0,0,
2209,4966, , , , , , , ,0,0,0,0,
2210,4806, , , , , , , ,0,0,4,0,
2211,4213, , , , , , , ,0,0,0,0,
2212,4623, , , , , , , ,0,0,0,0,
2301,4616, , , , , , , ,0,0,0,0,
2302,4616, , , , , , , ,0,0,0,0,
小计, , , , , , , , ,28,139.24,19 / 0,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:热轧卷板,,,,,,,,,,,,,
2203,4854,4888,5014,4860, , , , ,6203,30459.1,6383,-37,
2204,4832,4846,4944,4846, , , , ,254,1248.42,1185,-85,
2205,4783,4800,4897,4782, , , , ,354915,1721136.17,653253,-17351,
2206,4742,4770,4860,4752, , , , ,10011,48399.52,11787,-107,
2207,4730,4761,4838,4733, , , , ,1240,5951.75,18708,-48,
2208,4705,4712,4815,4712, , , , ,765,3645.86,14470,31,
2209,4688,4696,4788,4684, , , , ,22910,108822.94,39209,1187,
2210,4649,4664,4750,4651, , , , ,40053,188448.29,123513,-2658,
2211,4632,4674,4720,4674, , , , ,212,999.79,10163,206,
2212,4597,4661,4661,4658, , , , ,200,931.9,3168,200,
2301,4510,4553,4619,4529, , , , ,446,2040.68,6297,7,
2302,4519,4445,4445,4445, , , , ,1,4.45,12,-1,
小计, , , , , , , , ,437210,2112088.87,888148 / -18656,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:不锈钢,,,,,,,,,,,,,
2203,18115,17795,17940,17620, , , , ,4237,37598.91,9866,-1727,
2204,18100,17770,17925,17605, , , , ,80861,717113.07,57234,-1889,
2205,18025,17690,17830,17530, , , , ,18831,166248.34,20176,878,
